2024-08-17 18:12:31 - Head: (11, 11), Food: (19, 16), Move: (0, 1), Confidence: 78.27%
2024-08-17 18:12:31 - Head: (11, 12), Food: (19, 16), Move: (0, 1), Confidence: 63.64%
2024-08-17 18:12:31 - Head: (11, 13), Food: (19, 16), Move: (0, 1), Confidence: 79.91%
2024-08-17 18:12:31 - Head: (11, 14), Food: (19, 16), Move: (0, 1), Confidence: 87.51%
2024-08-17 18:12:31 - Head: (11, 15), Food: (19, 16), Move: (0, 1), Confidence: 88.25%
2024-08-17 18:12:31 - Head: (11, 16), Food: (19, 16), Move: (0, 1), Confidence: 88.59%
2024-08-17 18:12:32 - Head: (10, 16), Food: (19, 16), Move: (-1, 0), Confidence: 100.00%
2024-08-17 18:12:32 - Head: (9, 16), Food: (19, 16), Move: (-1, 0), Confidence: 99.95%
2024-08-17 18:12:32 - Head: (8, 16), Food: (19, 16), Move: (-1, 0), Confidence: 99.07%
2024-08-17 18:12:32 - Head: (7, 16), Food: (19, 16), Move: (-1, 0), Confidence: 99.62%
2024-08-17 18:12:32 - Head: (6, 16), Food: (19, 16), Move: (-1, 0), Confidence: 99.85%
2024-08-17 18:12:32 - Head: (5, 16), Food: (19, 16), Move: (-1, 0), Confidence: 99.95%
2024-08-17 18:12:32 - Head: (4, 16), Food: (19, 16), Move: (-1, 0), Confidence: 99.99%
2024-08-17 18:12:32 - Head: (3, 16), Food: (19, 16), Move: (-1, 0), Confidence: 100.00%
2024-08-17 18:12:32 - Head: (2, 16), Food: (19, 16), Move: (-1, 0), Confidence: 100.00%
2024-08-17 18:12:32 - Head: (1, 16), Food: (19, 16), Move: (-1, 0), Confidence: 100.00%
2024-08-17 18:12:33 - Head: (0, 16), Food: (19, 16), Move: (-1, 0), Confidence: 100.00%
2024-08-17 18:12:33 - Head: (19, 16), Food: (19, 16), Move: (-1, 0), Confidence: 100.00%
2024-08-17 18:12:33 - Snake ate food! New length: 5
2024-08-17 18:12:33 - Head: (19, 17), Food: (19, 6), Move: (0, 1), Confidence: 100.00%
2024-08-17 18:12:33 - Head: (19, 18), Food: (19, 6), Move: (0, 1), Confidence: 100.00%
2024-08-17 18:12:33 - Head: (19, 19), Food: (19, 6), Move: (0, 1), Confidence: 100.00%
2024-08-17 18:12:33 - Head: (19, 0), Food: (19, 6), Move: (0, 1), Confidence: 100.00%
2024-08-17 18:12:33 - Head: (19, 1), Food: (19, 6), Move: (0, 1), Confidence: 65.89%
2024-08-17 18:12:33 - Head: (19, 2), Food: (19, 6), Move: (0, 1), Confidence: 97.80%
2024-08-17 18:12:33 - Head: (19, 3), Food: (19, 6), Move: (0, 1), Confidence: 40.26%
2024-08-17 18:12:33 - Head: (19, 4), Food: (19, 6), Move: (0, 1), Confidence: 61.67%
2024-08-17 18:12:34 - Head: (19, 5), Food: (19, 6), Move: (0, 1), Confidence: 99.17%
2024-08-17 18:12:34 - Head: (19, 6), Food: (19, 6), Move: (0, 1), Confidence: 99.21%
2024-08-17 18:12:34 - Snake ate food! New length: 6
2024-08-17 18:12:34 - Head: (0, 6), Food: (7, 1), Move: (1, 0), Confidence: 100.00%
2024-08-17 18:12:34 - Head: (0, 7), Food: (7, 1), Move: (0, 1), Confidence: 84.31%
2024-08-17 18:12:34 - Head: (0, 8), Food: (7, 1), Move: (0, 1), Confidence: 99.92%
2024-08-17 18:12:34 - Head: (0, 9), Food: (7, 1), Move: (0, 1), Confidence: 100.00%
2024-08-17 18:12:34 - Head: (0, 10), Food: (7, 1), Move: (0, 1), Confidence: 100.00%
2024-08-17 18:12:34 - Head: (0, 11), Food: (7, 1), Move: (0, 1), Confidence: 100.00%
2024-08-17 18:12:34 - Head: (0, 12), Food: (7, 1), Move: (0, 1), Confidence: 100.00%
2024-08-17 18:12:35 - Head: (0, 13), Food: (7, 1), Move: (0, 1), Confidence: 100.00%
2024-08-17 18:12:35 - Head: (0, 14), Food: (7, 1), Move: (0, 1), Confidence: 100.00%
2024-08-17 18:12:35 - Head: (0, 15), Food: (7, 1), Move: (0, 1), Confidence: 100.00%
2024-08-17 18:12:35 - Head: (0, 16), Food: (7, 1), Move: (0, 1), Confidence: 100.00%
2024-08-17 18:12:35 - Head: (0, 17), Food: (7, 1), Move: (0, 1), Confidence: 100.00%
2024-08-17 18:12:35 - Head: (0, 18), Food: (7, 1), Move: (0, 1), Confidence: 100.00%
2024-08-17 18:12:35 - Head: (0, 19), Food: (7, 1), Move: (0, 1), Confidence: 100.00%
2024-08-17 18:12:35 - Head: (0, 0), Food: (7, 1), Move: (0, 1), Confidence: 100.00%
2024-08-17 18:12:35 - Head: (19, 0), Food: (7, 1), Move: (-1, 0), Confidence: 63.20%
2024-08-17 18:12:35 - Head: (18, 0), Food: (7, 1), Move: (-1, 0), Confidence: 100.00%
2024-08-17 18:12:36 - Head: (17, 0), Food: (7, 1), Move: (-1, 0), Confidence: 100.00%
2024-08-17 18:12:36 - Head: (16, 0), Food: (7, 1), Move: (-1, 0), Confidence: 100.00%
2024-08-17 18:12:36 - Head: (15, 0), Food: (7, 1), Move: (-1, 0), Confidence: 99.97%
2024-08-17 18:12:36 - Head: (14, 0), Food: (7, 1), Move: (-1, 0), Confidence: 90.50%
2024-08-17 18:12:36 - Head: (13, 0), Food: (7, 1), Move: (-1, 0), Confidence: 91.59%
2024-08-17 18:12:36 - Head: (12, 0), Food: (7, 1), Move: (-1, 0), Confidence: 90.73%
2024-08-17 18:12:36 - Head: (11, 0), Food: (7, 1), Move: (-1, 0), Confidence: 86.18%
2024-08-17 18:12:36 - Head: (10, 0), Food: (7, 1), Move: (-1, 0), Confidence: 79.97%
2024-08-17 18:12:36 - Head: (10, 1), Food: (7, 1), Move: (0, 1), Confidence: 77.81%
2024-08-17 18:12:36 - Head: (10, 2), Food: (7, 1), Move: (0, 1), Confidence: 51.05%
2024-08-17 18:12:37 - Head: (10, 3), Food: (7, 1), Move: (0, 1), Confidence: 82.03%
2024-08-17 18:12:37 - Head: (10, 4), Food: (7, 1), Move: (0, 1), Confidence: 52.40%
2024-08-17 18:12:37 - Head: (11, 4), Food: (7, 1), Move: (1, 0), Confidence: 70.31%
2024-08-17 18:12:37 - Head: (12, 4), Food: (7, 1), Move: (1, 0), Confidence: 96.49%
2024-08-17 18:12:37 - Head: (13, 4), Food: (7, 1), Move: (1, 0), Confidence: 99.56%
2024-08-17 18:12:37 - Head: (14, 4), Food: (7, 1), Move: (1, 0), Confidence: 99.93%
2024-08-17 18:12:37 - Head: (15, 4), Food: (7, 1), Move: (1, 0), Confidence: 99.99%
2024-08-17 18:12:37 - Head: (16, 4), Food: (7, 1), Move: (1, 0), Confidence: 100.00%
2024-08-17 18:12:37 - Head: (17, 4), Food: (7, 1), Move: (1, 0), Confidence: 100.00%
2024-08-17 18:12:37 - Head: (18, 4), Food: (7, 1), Move: (1, 0), Confidence: 100.00%
2024-08-17 18:12:38 - Head: (19, 4), Food: (7, 1), Move: (1, 0), Confidence: 100.00%
2024-08-17 18:12:38 - Head: (0, 4), Food: (7, 1), Move: (1, 0), Confidence: 100.00%
2024-08-17 18:12:38 - Head: (1, 4), Food: (7, 1), Move: (1, 0), Confidence: 92.49%
2024-08-17 18:12:38 - Head: (2, 4), Food: (7, 1), Move: (1, 0), Confidence: 57.63%
2024-08-17 18:12:38 - Head: (2, 5), Food: (7, 1), Move: (0, 1), Confidence: 73.57%
2024-08-17 18:12:38 - Head: (2, 6), Food: (7, 1), Move: (0, 1), Confidence: 73.53%
2024-08-17 18:12:38 - Head: (2, 7), Food: (7, 1), Move: (0, 1), Confidence: 99.39%
2024-08-17 18:12:38 - Head: (2, 8), Food: (7, 1), Move: (0, 1), Confidence: 100.00%
2024-08-17 18:12:38 - Head: (2, 9), Food: (7, 1), Move: (0, 1), Confidence: 100.00%
2024-08-17 18:12:38 - Head: (2, 10), Food: (7, 1), Move: (0, 1), Confidence: 100.00%
2024-08-17 18:12:39 - Head: (2, 11), Food: (7, 1), Move: (0, 1), Confidence: 100.00%
